# BINNING-AGE: MIN=-0.01 BINWIDTH=0.02
# GP-LABEL-AGE: Age / Myr
# 1: AGE / Myr	2: probability
8.78	5.82427e-04
8.8	5.81109e-04
8.82	5.80503e-04
8.84	5.80142e-04
8.86	5.79804e-04
8.88	5.79551e-04
8.9	5.79260e-04
8.92	5.77860e-04
8.94	5.77333e-04
8.96	5.76952e-04
8.98	5.76650e-04
9	5.76386e-04
9.02	5.76188e-04
9.04	5.74904e-04
9.06	5.73984e-04
9.08	5.73702e-04
9.1	5.73378e-04
9.12	5.73315e-04
9.14	5.73044e-04
9.16	5.71440e-04
9.18	5.70694e-04
9.2	5.70477e-04
9.22	5.70253e-04
9.24	5.69982e-04
9.26	5.69685e-04
9.28	5.68341e-04
9.3	5.67601e-04
9.32	5.67073e-04
9.34	5.66910e-04
9.36	5.66708e-04
9.38	5.66324e-04
9.4	5.66145e-04
9.42	5.64271e-04
9.44	5.63784e-04
9.46	5.63653e-04
9.48	5.63276e-04
9.5	5.62807e-04
9.52	5.62626e-04
9.54	5.61158e-04
9.56	5.60558e-04
9.58	5.60243e-04
9.6	5.59663e-04
9.62	5.59323e-04
9.64	5.59113e-04
9.66	5.58852e-04
9.68	5.57254e-04
9.7	5.56658e-04
9.72	5.56186e-04
9.74	5.55789e-04
9.76	5.55418e-04
9.78	5.55348e-04
9.8	5.55070e-04
9.82	5.53330e-04
9.84	5.52728e-04
9.86	5.52458e-04
9.88	5.51769e-04
9.9	5.51720e-04
9.92	5.51548e-04
9.94	5.51311e-04
9.96	5.49571e-04
9.98	5.48868e-04
10	5.48417e-04
10.02	5.47981e-04
10.04	5.47839e-04
10.06	5.47686e-04
10.08	5.47144e-04
10.1	5.45917e-04
10.12	5.44920e-04
10.14	5.44438e-04
10.16	5.44180e-04
10.18	5.44063e-04
10.2	5.43369e-04
10.22	5.43082e-04
10.24	5.42962e-04
10.26	5.41163e-04
10.28	5.40595e-04
10.3	5.40184e-04
10.32	5.39808e-04
10.34	5.39354e-04
10.36	5.39072e-04
10.38	5.38988e-04
10.4	5.38926e-04
10.42	5.36495e-04
10.44	5.36031e-04
10.46	5.35633e-04
10.48	5.35220e-04
10.5	5.35050e-04
10.52	5.34876e-04
10.54	5.34630e-04
10.56	5.34130e-04
10.58	5.32134e-04
10.6	5.31640e-04
10.62	5.31165e-04
10.64	5.30806e-04
10.66	5.30565e-04
10.68	5.30531e-04
10.7	5.30081e-04
10.72	5.29704e-04
10.74	5.29558e-04
10.76	5.27292e-04
10.78	5.26883e-04
10.8	5.26725e-04
10.82	5.26181e-04
10.84	5.25617e-04
10.86	5.25635e-04
10.88	5.25190e-04
10.9	5.25261e-04
10.92	5.24919e-04
10.94	5.23085e-04
10.96	5.22221e-04
10.98	5.21647e-04
11	5.21344e-04
11.02	5.21006e-04
11.04	5.20727e-04
11.06	5.20603e-04
11.08	5.20324e-04
11.1	5.20045e-04
11.12	5.19867e-04
11.14	5.17747e-04
11.16	5.17043e-04
11.18	5.16714e-04
11.2	5.16599e-04
11.22	5.16161e-04
11.24	5.15506e-04
11.26	5.15381e-04
11.28	5.15095e-04
11.3	5.15087e-04
11.32	5.15045e-04
11.34	5.12754e-04
11.36	5.11890e-04
11.38	5.11550e-04
11.4	5.11330e-04
11.42	5.10921e-04
11.44	5.10624e-04
11.46	5.10418e-04
11.48	5.10095e-04
11.5	5.09776e-04
11.52	5.09682e-04
11.54	5.07778e-04
11.56	5.07031e-04
11.58	5.06326e-04
11.6	5.06256e-04
11.62	5.05637e-04
11.64	5.05402e-04
11.66	5.05172e-04
11.68	5.04796e-04
11.7	5.04574e-04
11.72	5.04520e-04
11.74	5.04331e-04
11.76	5.02273e-04
11.78	5.01511e-04
11.8	5.01096e-04
11.82	5.00597e-04
11.84	5.00266e-04
11.86	5.00195e-04
11.88	4.99553e-04
11.9	4.99356e-04
11.92	4.99067e-04
11.94	4.98966e-04
11.96	4.98724e-04
11.98	4.97191e-04
12	4.96266e-04
12.02	4.95810e-04
12.04	4.95033e-04
12.06	4.94901e-04
12.08	4.94384e-04
12.1	4.94114e-04
12.12	4.93910e-04
12.14	4.93834e-04
12.16	4.93399e-04
12.18	4.92905e-04
12.2	4.92843e-04
12.22	4.91109e-04
12.24	4.90214e-04
12.26	4.89993e-04
12.28	4.89209e-04
12.3	4.88941e-04
12.32	4.88570e-04
12.34	4.88199e-04
12.36	4.88050e-04
12.38	4.87879e-04
12.4	4.87397e-04
12.42	4.86992e-04
12.44	4.86891e-04
12.46	4.85108e-04
12.48	4.84498e-04
12.5	4.83638e-04
12.52	4.83302e-04
12.54	4.83083e-04
12.56	4.82726e-04
12.58	4.82424e-04
12.6	4.81801e-04
12.62	4.81520e-04
12.64	4.81435e-04
12.66	4.80946e-04
12.68	4.80688e-04
12.7	4.79499e-04
12.72	4.78242e-04
12.74	4.77669e-04
12.76	4.77338e-04
12.78	4.76904e-04
12.8	4.76550e-04
12.82	4.76259e-04
12.84	4.75658e-04
12.86	4.75606e-04
12.88	4.75282e-04
12.9	4.74819e-04
12.92	4.74727e-04
12.94	4.74405e-04
12.96	4.72750e-04
12.98	4.71735e-04
13	4.71196e-04
13.02	4.70750e-04
13.04	4.70152e-04
13.06	4.69602e-04
13.08	4.69135e-04
13.1	4.68853e-04
13.12	4.68789e-04
13.14	4.68559e-04
13.16	4.68023e-04
13.18	4.67693e-04
13.2	4.67363e-04
13.22	4.66150e-04
13.24	4.65291e-04
13.26	4.64641e-04
13.28	4.64103e-04
13.3	4.63856e-04
13.32	4.63474e-04
13.34	4.62946e-04
13.36	4.62979e-04
13.38	4.62603e-04
13.4	4.62272e-04
13.42	4.62040e-04
13.44	4.61772e-04
13.46	4.61689e-04
13.48	4.61460e-04
13.5	4.59929e-04
13.52	4.59067e-04
13.54	4.58527e-04
13.56	4.58278e-04
13.58	4.57739e-04
13.6	4.57338e-04
13.62	4.57362e-04
13.64	4.56988e-04
13.66	4.56446e-04
13.68	4.55988e-04
13.7	4.56010e-04
13.72	4.55768e-04
13.74	4.55790e-04
13.76	4.55559e-04
13.78	4.53942e-04
13.8	4.52915e-04
13.82	4.52463e-04
13.84	4.52045e-04
13.86	4.51696e-04
13.88	4.51567e-04
13.9	4.51153e-04
13.92	4.51044e-04
13.94	4.50192e-04
13.96	4.50086e-04
13.98	4.49944e-04
14	4.49969e-04
14.02	4.49695e-04
14.04	4.49295e-04
14.06	4.48845e-04
14.08	4.47281e-04
14.1	4.46789e-04
14.12	4.46497e-04
14.14	4.46201e-04
14.16	4.45483e-04
14.18	4.45028e-04
14.2	4.44781e-04
14.22	4.44479e-04
14.24	4.44114e-04
14.26	4.44131e-04
14.28	4.44147e-04
14.3	4.43705e-04
14.32	4.43114e-04
14.34	4.42867e-04
14.36	4.42871e-04
14.38	4.42731e-04
14.4	4.42599e-04
14.42	4.41344e-04
14.44	4.40389e-04
14.46	4.39457e-04
14.48	4.39158e-04
14.5	4.38679e-04
14.52	4.38520e-04
14.54	4.38359e-04
14.56	4.37911e-04
14.58	4.37546e-04
14.6	4.37539e-04
14.62	4.36634e-04
14.64	4.36640e-04
14.66	4.36827e-04
14.68	4.36494e-04
14.7	4.36041e-04
14.72	4.35904e-04
14.74	4.35775e-04
14.76	4.35794e-04
14.78	4.34197e-04
14.8	4.33160e-04
14.82	4.32638e-04
14.84	4.32002e-04
14.86	4.31687e-04
14.88	4.31518e-04
14.9	4.31040e-04
14.92	4.30809e-04
14.94	4.30324e-04
14.96	4.30316e-04
14.98	4.29842e-04
15	4.29676e-04
15.02	4.29386e-04
15.04	4.29216e-04
15.06	4.29217e-04
15.08	4.29087e-04
15.1	4.28612e-04
15.12	4.28636e-04
15.14	4.28157e-04
15.16	4.26782e-04
15.18	4.25686e-04
15.2	4.25197e-04
15.22	4.24656e-04
15.24	4.24294e-04
15.26	4.23894e-04
15.28	4.23400e-04
15.3	4.23227e-04
15.32	4.22740e-04
15.34	4.22734e-04
15.36	4.22561e-04
15.38	4.22391e-04
15.4	4.22378e-04
15.42	4.21882e-04
15.44	4.21417e-04
15.46	4.21401e-04
15.48	4.21390e-04
15.5	4.21073e-04
15.52	4.21084e-04
15.54	4.21084e-04
15.56	4.18913e-04
15.58	4.17680e-04
15.6	4.17124e-04
15.62	4.16511e-04
15.64	4.16138e-04
15.66	4.16126e-04
15.68	4.16121e-04
15.7	4.15432e-04
15.72	4.15250e-04
15.74	4.15412e-04
15.76	4.14882e-04
15.78	4.14544e-04
15.8	4.14548e-04
15.82	4.14188e-04
15.84	4.14358e-04
15.86	4.14337e-04
15.88	4.14328e-04
15.9	4.13806e-04
15.92	4.13652e-04
15.94	4.13483e-04
15.96	4.11820e-04
15.98	4.10086e-04
16	4.09625e-04
16.02	4.09414e-04
16.04	4.08899e-04
16.06	4.08300e-04
16.08	4.08127e-04
16.1	4.08098e-04
16.12	4.07889e-04
16.14	4.07859e-04
16.16	4.07529e-04
16.18	4.07341e-04
16.2	4.07130e-04
16.22	4.06935e-04
16.24	4.07113e-04
16.26	4.06719e-04
16.28	4.06562e-04
16.3	4.06536e-04
16.32	4.06357e-04
16.34	4.06526e-04
16.36	4.06135e-04
16.38	4.06152e-04
16.4	4.03796e-04
16.42	4.02578e-04
16.44	4.02166e-04
16.46	4.01753e-04
16.48	4.01169e-04
16.5	4.00979e-04
16.52	4.00790e-04
16.54	4.00581e-04
16.56	4.00548e-04
16.58	4.00507e-04
16.6	4.00109e-04
16.62	4.00096e-04
16.64	3.99712e-04
16.66	3.99522e-04
16.68	3.99487e-04
16.7	3.99652e-04
16.72	3.99618e-04
16.74	3.99245e-04
16.76	3.99239e-04
16.78	3.99015e-04
16.8	3.99108e-04
16.82	3.99281e-04
16.84	3.99066e-04
16.86	3.96323e-04
16.88	3.95494e-04
16.9	3.94872e-04
16.92	3.94285e-04
16.94	3.94048e-04
16.96	3.93998e-04
16.98	3.93763e-04
17	3.93725e-04
17.02	3.93521e-04
17.04	3.93118e-04
17.06	3.92701e-04
17.08	3.92660e-04
17.1	3.92824e-04
17.12	3.92443e-04
17.14	3.92404e-04
17.16	3.92361e-04
17.18	3.92335e-04
17.2	3.92303e-04
17.22	3.91868e-04
17.24	3.91946e-04
17.26	3.92109e-04
17.28	3.92080e-04
17.3	3.92087e-04
17.32	3.92098e-04
17.34	3.88456e-04
17.36	3.87993e-04
17.38	3.87729e-04
17.4	3.87293e-04
17.42	3.86864e-04
17.44	3.86611e-04
17.46	3.86567e-04
17.48	3.86328e-04
17.5	3.86280e-04
17.52	3.86034e-04
17.54	3.86022e-04
17.56	3.85568e-04
17.58	3.85344e-04
17.6	3.85327e-04
