# BINNING-C: MIN=0 BINWIDTH=0.0128026738
# GP-LABEL-C: log( C / H ) + 12
# 1: C / dex	2: probability
8.0208751357	1.06207e-06
8.0336778095	1.03457e-06
8.0464804833	1.01460e-06
8.0592831571	9.74940e-07
8.0720858309	9.54943e-07
8.0848885047	9.29387e-07
8.0976911785	8.99069e-07
8.1104938523	8.53544e-07
8.1232965261	8.22214e-07
8.1360991999	8.20594e-07
8.1489018737	7.88452e-07
8.1617045475	7.63097e-07
8.1745072213	7.38878e-07
8.1873098951	7.10348e-07
8.2001125689	7.20797e-07
8.2129152427	6.91853e-07
8.2257179165	6.65263e-07
8.2385205903	6.58600e-07
8.2513232641	6.33320e-07
8.2641259379	6.08959e-07
8.2769286117	6.15094e-07
8.2897312855	5.80879e-07
8.3025339593	5.73536e-07
8.3153366331	5.53525e-07
8.3281393069	5.29850e-07
8.3409419807	5.30295e-07
8.3537446545	5.03850e-07
8.3665473283	4.92371e-07
8.3793500021	4.90384e-07
8.3921526759	4.79878e-07
8.4049553497	4.59701e-07
8.4177580235	4.45079e-07
8.4305606973	4.30562e-07
8.4433633711	4.20578e-07
8.4561660449	4.18875e-07
8.4689687187	4.14809e-07
8.4817713925	3.85883e-07
8.4945740663	3.57649e-07
8.5073767401	3.38180e-07
8.5201794139	3.10158e-07
8.5329820877	2.88688e-07
8.5457847615	2.62896e-07
8.5585874353	2.40300e-07
8.5713901091	2.20244e-07
8.5841927829	2.10958e-07
8.5969954567	1.84559e-07
8.6097981305	1.66167e-07
8.6226008043	1.58431e-07
8.6354034781	1.44117e-07
8.6482061519	1.37546e-07
8.6610088257	1.25796e-07
8.6738114995	1.20298e-07
8.6866141733	1.12631e-07
8.6994168471	1.04944e-07
8.7122195209	1.01058e-07
8.7250221947	9.49014e-08
8.7378248685	9.06335e-08
8.7506275423	8.53641e-08
8.7634302161	8.35284e-08
8.7762328899	7.85851e-08
8.7890355637	7.82790e-08
8.8018382375	7.55641e-08
8.8146409113	7.25886e-08
8.8274435851	7.00983e-08
8.8402462589	7.00718e-08
8.8530489327	6.80146e-08
8.8658516065	6.55994e-08
8.8786542803	5.89198e-08
8.8914569541	5.14050e-08
8.9042596279	4.63549e-08
8.9170623017	4.20486e-08
8.9298649755	3.98129e-08
8.9426676493	3.76275e-08
8.9554703231	3.66766e-08
8.9682729969	3.30447e-08
8.9810756707	1.96352e-08
8.9938783445	1.00938e-08
9.0066810183	4.17923e-09
9.0194836921	1.21806e-09
9.0322863659	3.64022e-10
9.0450890397	1.35823e-10
