# BINNING-MINI: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MINI: M_{ini} / M_{/CMSY10 \014}
# 1: MINI / Msun	2: probability
161.8	1.03655e-06
162	1.03116e-06
162.2	1.02669e-06
162.4	1.02244e-06
162.6	1.01796e-06
162.8	1.01343e-06
163	1.00916e-06
163.2	1.00454e-06
163.4	1.00018e-06
163.6	9.74953e-07
163.8	9.70826e-07
164	9.66634e-07
164.2	9.62999e-07
164.4	9.58829e-07
164.6	9.55079e-07
164.8	9.51312e-07
165	9.47199e-07
165.2	9.43500e-07
165.4	9.39590e-07
165.6	9.35477e-07
165.8	9.31625e-07
166	9.28131e-07
166.2	9.24246e-07
166.4	9.20799e-07
166.6	9.16670e-07
166.8	9.12836e-07
167	9.08241e-07
167.2	9.04089e-07
167.4	9.00087e-07
167.6	8.96258e-07
167.8	8.92609e-07
168	8.89294e-07
168.2	8.85441e-07
168.4	8.81997e-07
168.6	8.78413e-07
168.8	8.75052e-07
169	8.71507e-07
169.2	8.68150e-07
169.4	8.64282e-07
169.6	8.60940e-07
169.8	8.57399e-07
170	8.53676e-07
170.2	8.50547e-07
170.4	8.46863e-07
170.6	8.43603e-07
170.8	8.40207e-07
171	8.36590e-07
171.2	8.33364e-07
171.4	8.29852e-07
171.6	8.26718e-07
171.8	8.23420e-07
172	8.20172e-07
172.2	8.16618e-07
172.4	8.13087e-07
172.6	8.09598e-07
172.8	8.06380e-07
173	8.03226e-07
173.2	7.99986e-07
173.4	7.96997e-07
173.6	7.93774e-07
173.8	7.90349e-07
174	7.87401e-07
174.2	7.83940e-07
174.4	7.80790e-07
174.6	7.77526e-07
174.8	7.74456e-07
175	7.71414e-07
175.2	7.68720e-07
175.4	7.65731e-07
175.6	7.63062e-07
175.8	7.60409e-07
176	7.57597e-07
176.2	7.54565e-07
176.4	7.51603e-07
176.6	7.48644e-07
176.8	7.45891e-07
177	7.43318e-07
177.2	7.40124e-07
177.4	7.37570e-07
177.6	7.35026e-07
177.8	7.32154e-07
178	7.29640e-07
178.2	7.26893e-07
178.4	7.23269e-07
178.6	7.20361e-07
178.8	7.17535e-07
179	7.14485e-07
179.2	7.11736e-07
179.4	7.08900e-07
179.6	7.06372e-07
179.8	7.03843e-07
180	7.01168e-07
180.2	6.98797e-07
180.4	6.96431e-07
180.6	6.93511e-07
180.8	6.91175e-07
181	6.88712e-07
181.2	6.85898e-07
181.4	6.83428e-07
181.6	6.80814e-07
181.8	6.78299e-07
182	6.75586e-07
182.2	6.73165e-07
182.4	6.70915e-07
182.6	6.68249e-07
182.8	6.65854e-07
183	6.63637e-07
183.2	6.61265e-07
183.4	6.58498e-07
183.6	6.56191e-07
183.8	6.53730e-07
184	6.51568e-07
184.2	6.49409e-07
184.4	6.46854e-07
184.6	6.44573e-07
184.8	6.42296e-07
185	6.40183e-07
185.2	6.37805e-07
185.4	6.35044e-07
185.6	6.32512e-07
185.8	6.30176e-07
186	6.27649e-07
186.2	6.25487e-07
186.4	6.22898e-07
186.6	6.20487e-07
186.8	6.18467e-07
187	6.16074e-07
187.2	6.14075e-07
187.4	6.11677e-07
187.6	6.09707e-07
187.8	6.07321e-07
188	6.04953e-07
188.2	6.02999e-07
188.4	6.00804e-07
188.6	5.98590e-07
188.8	5.96663e-07
189	5.94626e-07
189.2	5.92490e-07
189.4	5.90295e-07
189.6	5.88404e-07
189.8	5.86136e-07
190	5.84112e-07
190.2	5.82101e-07
190.4	5.80254e-07
190.6	5.78152e-07
190.8	5.76123e-07
191	5.74146e-07
191.2	5.72063e-07
191.4	5.70250e-07
191.6	5.67929e-07
191.8	5.66135e-07
192	5.64206e-07
192.2	5.62289e-07
192.4	5.60405e-07
192.6	5.58392e-07
192.8	5.56354e-07
193	5.53918e-07
193.2	5.51981e-07
193.4	5.50007e-07
193.6	5.48182e-07
193.8	5.46143e-07
194	5.43930e-07
194.2	5.42094e-07
194.4	5.40061e-07
194.6	5.38274e-07
194.8	5.36464e-07
195	5.34449e-07
195.2	5.32655e-07
195.4	5.30881e-07
195.6	5.28866e-07
195.8	5.27227e-07
196	5.25302e-07
196.2	5.23679e-07
196.4	5.21822e-07
196.6	5.20001e-07
196.8	5.18136e-07
197	5.16544e-07
197.2	5.14839e-07
197.4	5.13156e-07
197.6	5.11316e-07
197.8	5.09622e-07
198	5.07961e-07
198.2	5.06302e-07
198.4	5.04626e-07
198.6	5.03088e-07
198.8	5.01430e-07
199	4.99822e-07
199.2	4.98182e-07
199.4	4.96431e-07
199.6	4.94803e-07
199.8	4.93307e-07
200	4.91547e-07
200.2	4.89936e-07
200.4	4.88344e-07
200.6	4.86632e-07
200.8	4.84632e-07
201	4.82862e-07
201.2	4.81221e-07
201.4	4.79686e-07
201.6	4.77817e-07
201.8	4.76170e-07
202	4.74623e-07
202.2	4.73110e-07
202.4	4.71700e-07
202.6	4.70199e-07
202.8	4.68800e-07
203	4.67191e-07
203.2	4.65557e-07
203.4	4.64075e-07
203.6	4.52535e-07
203.8	4.51194e-07
204	4.49753e-07
204.2	4.47962e-07
204.4	4.46639e-07
204.6	4.45321e-07
204.8	4.43914e-07
205	4.42483e-07
205.2	4.41062e-07
205.4	4.39648e-07
205.6	4.38357e-07
205.8	4.36979e-07
206	4.35544e-07
206.2	4.34269e-07
206.4	4.33001e-07
206.6	4.31619e-07
206.8	4.30269e-07
207	4.29018e-07
207.2	4.27771e-07
207.4	4.26417e-07
207.6	4.24963e-07
207.8	4.23732e-07
208	4.22413e-07
208.2	4.21190e-07
208.4	4.19975e-07
208.6	4.18662e-07
208.8	4.17338e-07
209	4.15503e-07
209.2	4.14129e-07
209.4	4.12556e-07
209.6	4.11174e-07
209.8	4.09795e-07
210	4.08403e-07
210.2	4.07029e-07
210.4	4.05775e-07
210.6	4.04613e-07
210.8	4.03258e-07
211	4.01997e-07
211.2	4.00561e-07
211.4	3.99418e-07
211.6	3.98278e-07
211.8	3.97060e-07
212	3.95652e-07
212.2	3.94529e-07
212.4	3.93233e-07
212.6	3.92021e-07
212.8	3.90910e-07
213	3.89696e-07
213.2	3.88420e-07
213.4	3.87323e-07
213.6	3.86239e-07
213.8	3.85066e-07
214	3.83874e-07
214.2	3.82795e-07
214.4	3.81722e-07
214.6	3.80653e-07
214.8	3.79501e-07
215	3.78333e-07
215.2	3.77277e-07
215.4	3.76135e-07
215.6	3.75086e-07
215.8	3.73852e-07
216	3.72603e-07
216.2	3.71462e-07
216.4	3.70337e-07
216.6	3.69204e-07
216.8	3.68097e-07
217	3.66869e-07
217.2	3.65853e-07
217.4	3.64741e-07
217.6	3.63731e-07
217.8	3.62263e-07
218	3.61078e-07
218.2	3.59770e-07
218.4	3.58620e-07
218.6	3.57455e-07
218.8	3.56198e-07
219	3.55218e-07
219.2	3.54064e-07
219.4	3.53092e-07
219.6	3.52042e-07
219.8	3.51000e-07
220	3.50042e-07
220.2	3.48906e-07
220.4	3.47956e-07
220.6	3.47007e-07
220.8	3.46062e-07
221	3.44943e-07
221.2	3.43923e-07
221.4	3.42988e-07
221.6	3.41892e-07
221.8	3.40881e-07
222	3.39862e-07
222.2	3.38942e-07
222.4	3.37949e-07
222.6	3.36940e-07
222.8	3.35933e-07
223	3.35029e-07
223.2	3.33873e-07
223.4	3.32982e-07
223.6	3.31988e-07
223.8	3.31006e-07
224	3.30022e-07
224.2	3.29063e-07
224.4	3.28086e-07
224.6	3.27499e-07
224.8	3.26624e-07
225	3.25662e-07
225.2	3.24285e-07
225.4	3.23342e-07
225.6	3.22481e-07
225.8	3.21543e-07
226	3.20500e-07
226.2	3.19649e-07
226.4	3.18726e-07
226.6	3.17881e-07
226.8	3.17044e-07
227	3.15693e-07
227.2	3.14786e-07
227.4	3.13885e-07
227.6	3.12907e-07
227.8	3.11992e-07
228	3.10924e-07
228.2	3.10033e-07
228.4	3.09152e-07
228.6	3.08247e-07
228.8	3.07365e-07
229	3.06487e-07
