# BINNING-HE: MIN=0 BINWIDTH=0.0139374332
# GP-LABEL-HE: log( He / H ) + 12
# 1: HE / dex	2: probability
11.8677243698	5.75864e-05
11.881661803	5.53315e-05
11.8955992362	5.21264e-05
11.9095366694	5.16287e-05
11.9234741026	4.65053e-05
11.9374115358	4.63879e-05
11.951348969	4.61876e-05
11.9652864022	4.50930e-05
11.9792238354	4.51359e-05
11.9931612686	4.33610e-05
12.0070987018	3.90414e-05
12.021036135	3.67325e-05
12.0349735682	4.21415e-05
12.0489110014	3.84849e-05
12.0628484346	3.70805e-05
12.0767858678	3.76871e-05
12.090723301	1.58516e-05
12.1046607342	8.81512e-06
12.1185981674	4.68642e-06
12.1325356006	3.38709e-06
12.1464730338	3.12722e-06
12.160410467	3.03081e-06
12.1743479002	2.85682e-06
12.1882853334	2.76542e-06
12.2022227666	2.74771e-06
12.2161601998	2.53560e-06
12.230097633	2.47411e-06
12.2440350662	2.47626e-06
12.2579724994	2.52494e-06
12.2719099326	2.44718e-06
12.2858473658	2.39301e-06
12.299784799	2.25818e-06
12.3137222322	2.18769e-06
12.3276596654	2.02720e-06
12.3415970986	2.00357e-06
12.3555345318	1.89210e-06
12.369471965	1.77469e-06
12.3834093982	1.64495e-06
12.3973468314	1.55239e-06
12.4112842646	1.54444e-06
12.4252216978	1.48067e-06
12.439159131	1.51850e-06
12.4530965642	1.40101e-06
12.4670339974	1.44166e-06
12.4809714306	1.38231e-06
12.4949088638	1.36882e-06
12.508846297	1.33470e-06
12.5227837302	1.34289e-06
12.5367211634	1.26379e-06
12.5506585966	1.29454e-06
12.5645960298	1.20672e-06
12.578533463	1.23187e-06
12.5924708962	1.15422e-06
12.6064083294	1.14602e-06
12.6203457626	1.10307e-06
12.6342831958	1.07833e-06
12.648220629	1.01510e-06
12.6621580622	1.01320e-06
12.6760954954	9.45134e-07
12.6900329286	9.38085e-07
12.7039703618	8.94342e-07
12.717907795	8.83678e-07
12.7318452282	8.55992e-07
12.7457826614	8.34468e-07
12.7597200946	7.97753e-07
12.7736575278	7.88354e-07
12.787594961	7.60239e-07
12.8015323942	7.44884e-07
12.8154698274	7.03980e-07
12.8294072606	6.83762e-07
12.8433446938	6.77586e-07
12.857282127	6.60030e-07
12.8712195602	6.28493e-07
12.8851569934	6.16563e-07
12.8990944266	5.95178e-07
12.9130318598	5.87759e-07
12.926969293	5.67311e-07
12.9409067262	5.43417e-07
12.9548441594	5.49375e-07
12.9687815926	5.04807e-07
12.9827190258	4.98042e-07
12.996656459	4.75621e-07
13.0105938922	4.76345e-07
13.0245313254	4.60205e-07
13.0384687586	4.42145e-07
13.0524061918	3.88049e-07
13.066343625	3.64890e-07
13.0802810582	3.25544e-07
13.0942184914	2.94802e-07
13.1081559246	2.60963e-07
13.1220933578	2.36426e-07
13.136030791	2.07535e-07
13.1499682242	1.85230e-07
13.1639056574	1.70028e-07
13.1778430906	1.56359e-07
13.1917805238	1.40164e-07
13.205717957	1.29832e-07
13.2196553902	1.22985e-07
13.2335928234	1.12527e-07
13.2475302566	1.09377e-07
13.2614676898	1.03967e-07
13.275405123	9.74975e-08
13.2893425562	9.70936e-08
13.3032799894	8.92477e-08
13.3172174226	8.62080e-08
13.3311548558	8.42851e-08
13.345092289	8.35765e-08
13.3590297222	8.10535e-08
13.3729671554	7.72716e-08
13.3869045886	6.85915e-08
13.4008420218	5.91049e-08
13.414779455	5.15622e-08
13.4287168882	4.80126e-08
13.4426543214	4.41819e-08
13.4565917546	4.27721e-08
13.4705291878	3.18999e-08
13.484466621	1.50926e-08
13.4984040542	5.32654e-09
13.5123414874	1.29957e-09
13.5262789206	2.71302e-10
