# BINNING-O: MIN=0 BINWIDTH=0.0098673797
# GP-LABEL-O: log( O / H ) + 12
# 1: O / dex	2: probability
7.33639680695	1.30000e-04
7.34626418665	1.43677e-04
7.35613156635	1.38898e-04
7.36599894605	1.28534e-04
7.37586632575	1.18734e-04
7.38573370545	1.26294e-04
7.39560108515	1.26876e-04
7.40546846485	1.38948e-04
7.41533584455	1.27918e-04
7.42520322425	1.33161e-04
7.43507060395	1.58702e-04
7.44493798365	1.44975e-04
7.45480536335	1.39641e-04
7.46467274305	1.34595e-04
7.47454012275	1.37263e-04
7.48440750245	1.33437e-04
7.49427488215	1.44911e-04
7.50414226185	1.45602e-04
7.51400964155	1.23852e-04
7.52387702125	1.57367e-04
7.53374440095	1.48195e-04
7.54361178065	1.60824e-04
7.55347916035	1.90957e-04
7.56334654005	1.42283e-04
7.57321391975	1.98250e-04
7.58308129945	1.79081e-04
7.59294867915	1.57276e-04
7.60281605885	2.01862e-04
7.61268343855	1.71286e-04
7.62255081825	2.03099e-04
7.63241819795	2.20120e-04
7.64228557765	1.81563e-04
7.65215295735	1.99113e-04
7.66202033705	2.03496e-04
7.67188771675	2.30937e-04
7.68175509645	2.51543e-04
7.69162247615	2.52435e-04
7.70148985585	2.25470e-04
7.71135723555	2.24472e-04
7.72122461525	2.80272e-04
7.73109199495	2.33933e-04
7.74095937465	2.77155e-04
7.75082675435	2.86029e-04
7.76069413405	2.59122e-04
7.77056151375	2.75228e-04
7.78042889345	2.39631e-04
7.79029627315	3.17682e-04
7.80016365285	3.11365e-04
7.81003103255	2.76199e-04
7.81989841225	3.16622e-04
7.82976579195	3.25872e-04
7.83963317165	3.19530e-04
7.84950055135	2.88580e-04
7.85936793105	4.33233e-04
7.86923531075	3.75888e-04
7.87910269045	4.41246e-04
7.88897007015	4.76594e-04
7.89883744985	4.39603e-04
7.90870482955	4.05627e-04
7.91857220925	9.74575e-04
7.92843958895	6.43308e-04
7.93830696865	6.51345e-04
7.94817434835	7.21260e-04
7.95804172805	6.90416e-04
7.96790910775	9.46876e-04
7.97777648745	9.28404e-04
7.98764386715	8.49420e-04
7.99751124685	9.14575e-04
8.00737862655	1.10651e-03
8.01724600625	1.19379e-03
8.02711338595	1.24292e-03
8.03698076565	1.37010e-03
8.04684814535	1.29932e-03
8.05671552505	1.61098e-03
8.06658290475	2.03934e-03
8.07645028445	2.76843e-03
8.08631766415	3.61962e-03
8.09618504385	4.69810e-03
8.10605242355	4.29469e-03
8.11591980325	5.09827e-03
8.12578718295	4.91984e-03
8.13565456265	5.34165e-03
8.14552194235	5.51706e-03
8.15538932205	5.77115e-03
8.16525670175	5.76342e-03
8.17512408145	6.44590e-03
8.18499146115	6.52858e-03
8.19485884085	7.62628e-03
8.20472622055	8.06289e-03
8.21459360025	9.82632e-03
8.22446097995	1.05683e-02
8.23432835965	1.25166e-02
8.24419573935	1.42771e-02
8.25406311905	1.55149e-02
8.26393049875	1.76816e-02
8.27379787845	1.85871e-02
8.28366525815	1.96769e-02
8.29353263785	2.23008e-02
8.30340001755	2.57820e-02
8.31326739725	3.22701e-02
8.32313477695	4.76086e-02
8.33300215665	7.65365e-02
8.34286953635	1.40348e-01
8.35273691605	4.22426e-01
8.36260429575	6.20978e-08
8.37247167545	6.14061e-08
8.38233905515	6.09745e-08
8.39220643485	5.71431e-08
8.40207381455	5.38967e-08
8.41194119425	4.59371e-08
8.42180857395	4.12822e-08
8.43167595365	3.86044e-08
8.44154333335	3.57534e-08
8.45141071305	3.30381e-08
8.46127809275	3.23561e-08
8.47114547245	3.13888e-08
8.48101285215	2.41723e-08
8.49088023185	1.36055e-08
8.50074761155	6.86082e-09
8.51061499125	2.84757e-09
8.52048237095	8.77724e-10
8.53034975065	3.13748e-10
