# BINNING-TEFF: MIN=0 BINWIDTH=379.6077106952
# GP-LABEL-TEFF: T_{eff} / K
# 1: TEFF / K	2: probability
65861.9378056172	1.34717e-07
66241.5455163124	2.15165e-08
66621.1532270076	4.01906e-08
67000.7609377028	2.45127e-08
67380.368648398	6.10632e-08
67759.9763590932	4.30659e-08
68139.5840697884	6.62971e-08
68519.1917804836	1.16313e-08
68898.7994911788	5.44047e-09
69278.407201874	1.62899e-08
69658.0149125692	2.26966e-08
70037.6226232644	3.05905e-08
70417.2303339596	1.73742e-08
70796.8380446548	2.10385e-08
71176.44575535	1.34228e-08
71556.0534660452	5.85325e-08
71935.6611767404	3.03688e-08
72315.2688874356	1.26113e-08
73454.0920195212	2.09366e-08
74213.3074409116	3.32633e-08
74972.522862302	1.02992e-08
