# BINNING-LOGL: MIN=-1 BINWIDTH=0.0236417112
# GP-LABEL-LOGL: log( L / L_{/CMSY10 \014})
# 1: LOGL / log(Lsun)	2: probability
5.442366302	9.80422e-04
5.4660080132	9.34273e-04
5.4896497244	8.80552e-04
5.5132914356	8.38524e-04
5.5369331468	7.89346e-04
5.560574858	7.49478e-04
5.5842165692	7.12373e-04
5.6078582804	6.71593e-04
5.6314999916	6.37122e-04
5.6551417028	5.97729e-04
5.678783414	5.62456e-04
5.7024251252	5.25708e-04
5.7260668364	4.92482e-04
5.7497085476	4.61207e-04
5.7733502588	4.28174e-04
5.79699197	4.00751e-04
5.8206336812	3.69761e-04
5.8442753924	3.41456e-04
5.8679171036	3.16812e-04
5.8915588148	2.91553e-04
5.915200526	2.72205e-04
5.9388422372	2.52634e-04
5.9624839484	2.37039e-04
5.9861256596	2.19148e-04
6.0097673708	2.02433e-04
6.033409082	1.90425e-04
6.0570507932	1.75822e-04
6.0806925044	1.61482e-04
6.1043342156	1.47298e-04
6.1279759268	1.36639e-04
6.151617638	1.27151e-04
6.1752593492	1.17975e-04
6.1989010604	1.09691e-04
6.2225427716	1.00561e-04
6.2461844828	9.29257e-05
6.269826194	8.48944e-05
6.2934679052	7.80535e-05
6.3171096164	7.28162e-05
6.3407513276	6.72590e-05
6.3643930388	6.15952e-05
6.38803475	5.57437e-05
6.4116764612	5.09712e-05
6.4353181724	4.70078e-05
6.4589598836	4.27740e-05
6.4826015948	3.90881e-05
6.506243306	3.55349e-05
6.5298850172	3.30061e-05
6.5535267284	3.02837e-05
6.5771684396	2.82155e-05
6.6008101508	2.56074e-05
6.624451862	2.30334e-05
6.6480935732	2.05839e-05
6.6717352844	1.79883e-05
6.6953769956	1.60134e-05
6.7190187068	1.41253e-05
6.742660418	1.24625e-05
6.7663021292	1.12718e-05
6.7899438404	9.95347e-06
6.8135855516	8.97717e-06
6.8372272628	7.91163e-06
6.860868974	6.96716e-06
6.8845106852	6.22916e-06
6.9081523964	5.49784e-06
6.9317941076	4.81304e-06
6.9554358188	4.21269e-06
6.97907753	3.64581e-06
7.0027192412	3.21778e-06
7.0263609524	2.83325e-06
7.0500026636	2.50808e-06
7.0736443748	2.10880e-06
7.097286086	1.62755e-06
7.1209277972	7.15373e-07
7.1445695084	8.16058e-08
