# BINNING-N: MIN=0 BINWIDTH=0.0190224599
# GP-LABEL-N: log( N / H ) + 12
# 1: N / dex	2: probability
10.16750481655	1.50417e-07
10.18652727645	1.40267e-07
10.20554973635	1.30895e-07
10.22457219625	1.24294e-07
10.24359465615	1.17229e-07
10.26261711605	1.14205e-07
10.28163957595	1.10629e-07
10.30066203585	9.69252e-08
10.31968449575	7.75706e-08
10.33870695565	6.83174e-08
10.35772941555	6.12043e-08
10.37675187545	5.52983e-08
10.39577433535	2.40683e-08
10.41479679525	6.09654e-09
10.43381925515	7.44071e-10
10.45284171505	1.04237e-10
