# BINNING-MACT: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MACT: M_{act} / M_{/CMSY10 \014}
# 1: MACT / Msun	2: probability
84.8	8.74922e-06
85	8.66199e-06
85.2	8.59788e-06
85.4	8.53614e-06
85.6	8.44546e-06
85.8	8.41694e-06
86	8.36904e-06
86.2	8.20097e-06
86.4	8.15907e-06
86.6	8.06704e-06
86.8	8.06521e-06
87	8.01336e-06
87.2	7.85147e-06
87.4	7.78205e-06
87.6	7.72376e-06
87.8	7.75849e-06
88	7.67420e-06
88.2	7.57090e-06
88.4	7.48601e-06
88.6	7.48498e-06
88.8	7.31636e-06
89	7.32294e-06
89.2	7.24884e-06
89.4	7.19595e-06
89.6	7.09812e-06
89.8	7.09786e-06
90	7.03350e-06
90.2	6.99555e-06
90.4	6.87571e-06
90.6	6.83471e-06
90.8	6.77238e-06
91	6.71523e-06
91.2	6.64376e-06
91.4	6.64756e-06
91.6	6.59488e-06
91.8	6.56131e-06
92	6.42277e-06
92.2	6.38913e-06
92.4	6.38228e-06
92.6	6.28970e-06
92.8	6.22643e-06
93	6.18774e-06
93.2	6.19936e-06
93.4	6.10405e-06
93.6	6.01763e-06
93.8	6.05238e-06
94	5.99413e-06
94.2	5.87922e-06
94.4	5.83688e-06
94.6	5.81488e-06
94.8	5.82264e-06
95	5.75131e-06
95.2	5.67456e-06
95.4	5.64110e-06
95.6	5.62585e-06
95.8	5.49561e-06
96	5.49990e-06
96.2	5.50303e-06
96.4	5.47858e-06
96.6	5.41692e-06
96.8	5.30549e-06
97	5.28441e-06
97.2	5.27752e-06
97.4	5.25737e-06
97.6	5.19077e-06
97.8	5.11482e-06
98	5.12476e-06
98.2	5.06555e-06
98.4	5.05991e-06
98.6	4.99660e-06
98.8	4.92762e-06
99	4.92803e-06
99.2	4.86684e-06
99.4	4.84990e-06
99.6	4.82966e-06
99.8	4.76838e-06
100	4.76676e-06
100.2	4.72896e-06
100.4	4.64860e-06
100.6	4.63696e-06
100.8	4.60415e-06
101	4.56019e-06
101.2	4.57375e-06
101.4	4.49226e-06
101.6	4.50296e-06
101.8	4.43599e-06
102	4.39980e-06
102.2	4.40275e-06
102.4	4.37593e-06
102.6	4.33098e-06
102.8	4.31403e-06
103	4.28346e-06
103.2	4.28127e-06
103.4	4.19639e-06
103.6	4.15516e-06
103.8	4.10773e-06
104	4.10009e-06
104.2	4.05959e-06
104.4	4.03357e-06
104.6	4.03013e-06
104.8	3.98400e-06
105	3.95369e-06
105.2	3.92221e-06
105.4	3.90443e-06
105.6	3.85820e-06
105.8	3.81643e-06
106	3.78231e-06
106.2	3.81998e-06
106.4	3.76874e-06
106.6	3.73255e-06
106.8	3.66310e-06
107	3.62905e-06
107.2	3.62915e-06
107.4	3.60223e-06
107.6	3.60398e-06
107.8	3.58887e-06
108	3.56412e-06
108.2	3.50764e-06
108.4	3.47191e-06
108.6	3.47185e-06
108.8	3.47220e-06
109	3.44375e-06
109.2	3.39149e-06
109.4	3.34438e-06
109.6	3.36132e-06
109.8	3.29536e-06
110	3.29316e-06
110.2	3.26652e-06
110.4	3.26693e-06
110.6	3.24413e-06
110.8	3.20338e-06
111	3.21215e-06
111.2	3.17885e-06
111.4	3.16506e-06
111.6	3.12026e-06
111.8	3.09475e-06
112	3.08099e-06
112.2	3.06618e-06
112.4	3.05186e-06
112.6	3.03041e-06
112.8	2.99112e-06
113	2.99023e-06
113.2	2.98997e-06
113.4	2.93693e-06
113.6	2.91402e-06
113.8	2.91137e-06
114	2.88293e-06
114.2	2.86594e-06
114.4	2.84360e-06
114.6	2.82902e-06
114.8	2.78935e-06
115	2.79279e-06
115.2	2.78032e-06
115.4	2.75310e-06
115.6	2.71345e-06
115.8	2.69589e-06
116	2.68761e-06
116.2	2.66799e-06
116.4	2.65878e-06
116.6	2.62686e-06
116.8	2.59028e-06
117	2.60587e-06
117.2	2.56702e-06
117.4	2.57105e-06
117.6	2.55741e-06
117.8	2.50831e-06
118	2.49662e-06
118.2	2.46872e-06
118.4	2.47557e-06
118.6	2.44069e-06
118.8	2.44445e-06
119	2.43386e-06
119.2	2.40128e-06
119.4	2.40590e-06
119.6	2.37754e-06
119.8	2.37471e-06
120	2.36932e-06
120.2	2.32388e-06
120.4	2.32134e-06
120.6	2.32526e-06
120.8	2.29551e-06
121	2.27121e-06
121.2	2.27514e-06
121.4	2.23314e-06
121.6	2.22100e-06
121.8	2.21632e-06
122	2.22208e-06
122.2	2.20662e-06
122.4	2.18161e-06
122.6	2.14699e-06
122.8	2.14069e-06
123	2.13203e-06
123.2	2.12751e-06
123.4	2.12051e-06
123.6	2.11036e-06
123.8	2.11881e-06
124	2.09282e-06
124.2	2.06885e-06
124.4	2.03903e-06
124.6	2.03406e-06
124.8	2.03629e-06
125	2.02384e-06
125.2	2.00093e-06
125.4	1.99571e-06
125.6	1.98108e-06
125.8	1.96648e-06
126	1.95067e-06
126.2	1.93974e-06
126.4	1.92457e-06
126.6	1.92862e-06
126.8	1.93679e-06
127	1.90459e-06
127.2	1.90589e-06
127.4	1.87512e-06
127.6	1.86162e-06
127.8	1.83696e-06
128	1.84542e-06
128.2	1.83861e-06
128.4	1.82586e-06
128.6	1.81293e-06
128.8	1.79865e-06
129	1.78643e-06
129.2	1.79127e-06
129.4	1.77737e-06
129.6	1.77171e-06
129.8	1.75812e-06
130	1.73721e-06
130.2	1.72793e-06
130.4	1.72178e-06
130.6	1.70409e-06
130.8	1.68306e-06
131	1.68390e-06
131.2	1.67157e-06
131.4	1.66991e-06
131.6	1.66571e-06
131.8	1.64874e-06
132	1.64325e-06
132.2	1.63501e-06
132.4	1.63316e-06
132.6	1.60950e-06
132.8	1.59499e-06
133	1.60174e-06
133.2	1.59012e-06
133.4	1.57169e-06
133.6	1.56641e-06
133.8	1.54923e-06
134	1.55460e-06
134.2	1.54411e-06
134.4	1.53090e-06
134.6	1.53315e-06
134.8	1.52144e-06
135	1.50225e-06
135.2	1.48404e-06
135.4	1.49298e-06
135.6	1.48693e-06
135.8	1.47403e-06
136	1.46075e-06
136.2	1.46083e-06
136.4	1.45113e-06
136.6	1.43318e-06
136.8	1.42959e-06
137	1.42432e-06
137.2	1.41816e-06
137.4	1.40164e-06
137.6	1.39925e-06
137.8	1.40457e-06
138	1.38831e-06
138.2	1.37705e-06
138.4	1.37854e-06
138.6	1.37486e-06
138.8	1.35950e-06
139	1.37277e-06
139.2	1.34020e-06
139.4	1.31661e-06
139.6	1.31829e-06
139.8	1.31117e-06
140	1.31024e-06
140.2	1.29792e-06
140.4	1.28831e-06
140.6	1.29388e-06
140.8	1.29466e-06
141	1.27177e-06
141.2	1.27790e-06
141.4	1.26899e-06
141.6	1.26949e-06
141.8	1.25407e-06
142	1.25183e-06
142.2	1.24592e-06
142.4	1.23807e-06
142.6	1.22459e-06
142.8	1.20737e-06
143	1.20296e-06
143.2	1.19820e-06
143.4	1.19390e-06
143.6	1.19190e-06
143.8	1.18632e-06
144	1.18395e-06
144.2	1.17574e-06
144.4	1.16655e-06
144.6	1.16810e-06
144.8	1.15803e-06
145	1.14257e-06
145.2	1.14805e-06
145.4	1.13883e-06
145.6	1.13449e-06
145.8	1.12469e-06
146	1.12777e-06
146.2	1.11937e-06
146.4	1.11278e-06
146.6	1.10296e-06
146.8	1.09611e-06
147	1.10418e-06
147.2	1.10434e-06
147.4	1.08086e-06
147.6	1.07311e-06
147.8	1.07828e-06
148	1.06745e-06
148.2	1.06877e-06
148.4	1.04887e-06
148.6	1.04693e-06
148.8	1.04529e-06
149	1.04157e-06
149.2	1.03334e-06
149.4	1.03505e-06
149.6	1.02664e-06
149.8	1.01479e-06
150	1.02647e-06
150.2	1.00477e-06
150.4	1.00444e-06
150.6	1.00458e-06
150.8	9.90040e-07
151	9.80562e-07
151.2	9.88924e-07
151.4	9.76677e-07
151.6	9.71855e-07
151.8	9.69727e-07
152	9.60217e-07
152.2	9.58080e-07
152.4	9.52287e-07
152.6	9.47426e-07
152.8	9.38093e-07
153	9.33290e-07
153.2	9.33491e-07
153.4	9.31226e-07
153.6	9.27156e-07
153.8	9.15863e-07
154	9.17421e-07
154.2	9.07195e-07
154.4	9.07806e-07
154.6	9.04839e-07
154.8	8.97758e-07
155	8.97454e-07
155.2	8.90033e-07
155.4	8.77520e-07
155.6	8.84724e-07
155.8	8.74519e-07
156	8.67924e-07
156.2	8.65554e-07
156.4	8.56169e-07
156.6	8.53944e-07
156.8	8.50732e-07
157	8.46348e-07
157.2	8.39125e-07
157.4	8.39050e-07
157.6	8.39788e-07
157.8	8.35196e-07
158	8.23667e-07
158.2	8.24500e-07
158.4	8.22980e-07
158.6	8.11426e-07
158.8	8.14823e-07
159	8.07393e-07
159.2	8.01731e-07
159.4	8.10095e-07
159.6	7.96300e-07
159.8	7.91381e-07
160	7.89941e-07
160.2	7.83108e-07
160.4	7.84338e-07
160.6	7.73332e-07
160.8	7.81505e-07
161	7.66960e-07
161.2	7.61562e-07
161.4	7.66075e-07
161.6	7.58289e-07
161.8	7.50053e-07
162	7.48502e-07
162.2	7.46906e-07
162.4	7.44779e-07
162.6	7.46794e-07
162.8	7.37114e-07
