# BINNING-LOGL: MIN=-10.0004438376 BINWIDTH=0.0236417112
# GP-LABEL-LOGL: log( L / L_{/CMSY10 \014})
# P(d<0): 86
# P(d>0): 14
# MEAN: -1.26
# SD: 1.18
# 1: dLOGL / log(Lsun)	2: probability
-1.8795160404	7.23117e-03
-1.8558743292	7.30002e-03
-1.832232618	7.36627e-03
-1.8085909068	7.42983e-03
-1.7849491956	7.49065e-03
-1.7613074844	7.54866e-03
-1.7376657732	7.60378e-03
-1.714024062	7.65596e-03
-1.6903823508	7.70515e-03
-1.6667406396	7.75129e-03
-1.6430989284	7.79432e-03
-1.6194572172	7.83422e-03
-1.595815506	7.87093e-03
-1.5721737948	7.90441e-03
-1.5485320836	7.93464e-03
-1.5248903724	7.96159e-03
-1.5012486612	7.98524e-03
-1.47760695	8.00555e-03
-1.4539652388	8.02253e-03
-1.4303235276	8.03615e-03
-1.4066818164	8.04641e-03
-1.3830401052	8.05331e-03
-1.359398394	8.05684e-03
-1.3357566828	8.05703e-03
-1.3121149716	8.05387e-03
-1.2884732604	8.04738e-03
-1.2648315492	8.03759e-03
-1.241189838	8.02450e-03
-1.2175481268	8.00816e-03
-1.1939064156	7.98859e-03
-1.1702647044	7.96583e-03
-1.1466229932	7.93991e-03
-1.122981282	7.91088e-03
-1.0993395708	7.87878e-03
-1.0756978596	7.84367e-03
-1.0520561484	7.80559e-03
-1.0284144372	7.76461e-03
-1.004772726	7.72078e-03
-0.981131014799999	7.67415e-03
-0.957489303599999	7.62481e-03
-0.933847592399999	7.57281e-03
-0.9102058812	7.51823e-03
-0.88656417	7.46113e-03
-0.8629224588	7.40160e-03
-0.8392807476	7.33970e-03
-0.8156390364	7.27552e-03
-0.791997325199999	7.20913e-03
-0.768355613999999	7.14062e-03
-0.744713902799999	7.07007e-03
-0.721072191599999	6.99757e-03
-0.6974304804	6.92320e-03
-0.6737887692	6.84704e-03
-0.650147058	6.76918e-03
-0.6265053468	6.68971e-03
-0.6028636356	6.60873e-03
-0.579221924399999	6.52630e-03
-0.555580213199999	6.44253e-03
-0.531938501999999	6.35751e-03
-0.508296790799999	6.27131e-03
-0.4846550796	6.18404e-03
-0.4610133684	6.09576e-03
-0.4373716572	6.00658e-03
-0.413729946	5.91658e-03
-0.3900882348	5.82585e-03
-0.366446523599999	5.73446e-03
-0.342804812399999	5.64250e-03
-0.319163101199999	5.55006e-03
-0.295521389999999	5.45721e-03
-0.2718796788	5.36403e-03
-0.2482379676	5.27061e-03
-0.2245962564	5.17702e-03
-0.2009545452	5.08332e-03
-0.177312834	4.98961e-03
-0.153671122799999	4.89595e-03
-0.130029411599999	4.80240e-03
-0.106387700399999	4.70904e-03
-0.0827459891999993	4.61593e-03
-0.0591042779999995	4.52313e-03
-0.0354625667999997	4.43072e-03
-0.0118208555999999	4.33874e-03
0.0118208555999999	4.24725e-03
0.0354625667999997	4.15632e-03
0.0591042780000013	4.06599e-03
0.0827459892000011	3.97631e-03
0.106387700400001	3.88734e-03
0.130029411600001	3.79912e-03
0.153671122800001	3.71170e-03
0.177312834	3.62511e-03
0.2009545452	3.53940e-03
0.2245962564	3.45461e-03
0.2482379676	3.37078e-03
0.271879678800001	3.28793e-03
0.295521390000001	3.20609e-03
0.319163101200001	3.12531e-03
0.342804812400001	3.04560e-03
0.366446523600001	2.96699e-03
0.3900882348	2.88951e-03
0.413729946	2.81317e-03
0.4373716572	2.73800e-03
0.4610133684	2.66402e-03
0.484655079600001	2.59123e-03
0.508296790800001	2.51966e-03
0.531938502000001	2.44931e-03
0.555580213200001	2.38021e-03
0.579221924400001	2.31234e-03
0.6028636356	2.24573e-03
0.6265053468	2.18038e-03
