Name;RAdeg;DEdeg;PosErr;Coord_Ref;ID_Flag;GLON;GLAT;Xray_Type;Porb;Ppulse;CRSF;Alt_Name;SpType;Gaia_DR3_ID;Gmag;e_Gmag;Vmag;e_Vmag;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;W1mag;e_W1mag;W2mag;e_W2mag;N_H;XMM_min_flux;XMM_max_flux;Chandra_min_flux;Chandra_max_flux;Chandra_Instrument;XRT_min_flux;XRT_max_flux;BAT_min_flux;BAT_max_flux;INTEGRAL_min_flux;INTEGRAL_max_flux;Mean_Mass;Low_Mass;High_Mass;Mean_Dist;Low_Dist;High_Dist;Teff;Lopt;IDS;CRSF_Ref;Spin_Ref;Orb_Ref;Spectral_Ref;Dist_Ref;Mass_Ref;Misc_Ref;Comments;_2MASS_ID;CatWISE_ID;ROSAT_ID;XMM_ID;Chandra_ID;XRT_ID;BAT_ID;INTEGRAL_ID
IGR J18483-0311;28.207.168.612.166;-317.136.768.374;0.0001968955560697092;2023A&A...674A...1G;0.0;29.750.324.085.017.200;-0.7453455920683396;SG,XT;18.55;21.05;;1RXH J184817.3-031017;B0.5-1Iab;4,25843E+18;170.245;0.008;21.884;0.31299999356269836;10.741;0.022;9.296;0.021;8.461;0.023;7.947.000.026.702.880;0.010999999940395355;7.710.000.038.146.970;0.008999999612569809;;11.460.800.000.000.000;51.174.400.000.000.000;60.618.169.008.566;60.618.169.008.566;HRC;3.939.999.802.110.570;7.316.999.783.846.250;79.14;79.14;5.548.400.163.650.510;5.548.400.163.650.510;;;;3779.0;1962.0;6610.0;3874.7;334.5;2MASS J18481720-0310168,DENIS J184817.1-031016,IGR J18483-0311,INTEGRAL1 102,PBC J1848.2-0311,1RXH J184817.3-031017,1RXH J184817.3-031018,SSTGLMC G029.7503-00.7452,SWIFT J1848.2-0310,TIC 182119156,USNO-B1.0 0868-00478906,[KRL2007b] 339,Gaia DR3 4258428501693172736,Gaia DR2 4258428501693172736;;2007A&A...467..249S;2006ATel..940....1L,2009RAA.....9.1303J;2019NewAR..8601546K;;;2003ATel..157....1C;;18481720-0310168;J184817.21-031016.8;;4XMM J184817.2-031016;J184817.1-031016;2SXPS J184816.6-031020;SWIFT J1848.2-0310;IGR J18483-0311
XTE J1855-026;28.387.668.002.005;-26.046.794.194;2,02E+11;2023A&A...674A...1G;0.0;31.076.353.243.715.800;-2.092.062.394.950.190;EB,XP,XT;6.07;361.0;;INTEGRAL1 105;B0Iaep;4,25589E+18;134.407;0.0034;;;10.564;0.026;10.089;0.024;9.799;0.021;9.564.000.129.699.700;0.013000000268220901;9.444.000.244.140.620;0.008999999612569809;;0.990934;0.990934;;;;2.187.000.025.521.960;2.187.000.025.521.960;210.97;210.97;1.236.949.945.449.820;1.236.949.945.449.820;1.41;1.17;1.65;6813.0;5291.0;8822.0;6207.5;;2MASS J18553040-0236167,INTEGRAL1 105,INTREF   947,PBC J1855.5-0236,SWIFT J1855.5-0237,SWIFT J1855.4-0236,TIC 56952242,XTE J1855-026,[KRL2007b] 345,Gaia DR2 4255891924062617088,Gaia DR3 4255891924062617088;;1999ApJ...517..956C;1999ApJ...517..956C;2008ATel.1876....1N;;2015A&A...577A.130F;;;18553040-0236167;J185530.40-023616.7;;4XMM J185530.4-023616;;2SXPS J185530.4-023617;SWIFT J1855.5-0237;XTE J1855-026
Ginga 1855-02;28.449.999.999.999.900;-27.333.333.333.333.300;;2006A&A...455.1165L;2.0;31.245.189.300.059;-27.050.726.364.997.000;XT;;;;INTREF 952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ginga 1855-02,INTREF   952;;;;;;;;HMXB candidate;;;;;;;;
XTE J1858+034;2.846.484.166.666.660;34.362.500.000.000.000;;1998IAUC.6826....2R;1.0;3.680.539.217.935.400;-0.023078222558325014;CL,XP,XT;81.0;221.0;48;INTREF 953;K-M;;;;;;13.89;0.024;13.246;0.022;13.026;0.03;13.206.000.328.063.900;0.00800000037997961;13.362.000.465.393.000;0.014000000432133675;;0.452334;0.452334;0.021110272314704002;0.021110272314704002;ACIS;;;;;6.720.999.727.249.140;6.720.999.727.249.140;;;;10900.0;9900.0;11900.0;;;INTREF   953,PBC J1858.6+0324,SWIFT J1858.9+0329,SWIFT J1858.8+0322,XTE J1858+034,[KRL2007b] 348;2021ApJ...909..153M;1998IAUC.6826....1J;2021ApJ...909..153M;2021ApJ...909..154T;2021ApJ...909..153M;;;;18583562+0326105;J185835.63+032609.7;;4XMM J185835.6+032610;J185835.6+032611;;;XTE J1858+034
XTE J1859+083;28.475.680.882.609;824.545.725.431;0.0004490258901221621;2015ATel.7067....1L;1.0;41.134.389.503.336.500;20.764.442.952.750.600;XP,XT;37.97;9.79;;MAXI J1859+082;B0-2Ve;4,31012E+18;194.701;0.0154;;;14.188;0.052;13.097;0.05;12.471;0.038;;;;;;;;;;;1.259.000.022.291.170;1.259.000.022.291.170;;;;;;;;6737.0;3164.0;12281.0;;;MAXI J1859+082,XTE J1859+083;;1999IAUC.7240....2M,2022MNRAS.509.5955S;2016PhDT.......406B;2022MNRAS.509.5955S;;;;;18590163+0814444;;;;;2SXPS J185901.8+081447;;
4U 1901+03;28.591.412.803.533;320.435.796.814;0.0002715384319023736;2023A&A...674A...1G;0.0;37.177.210.953.971.800;-12.527.920.344.881.300;CL,XP,XT;22.58;2.76;30;1H 1858+031;B8-9 IVe;4,26877E+18;185.422;0.0042;;;14.138;0.028;13.22;0.033;12.581;0.028;11.994.000.434.875.400;0.014000000432133675;11.776.000.022.888.100;0.009999999776482582;;;;;;;;;;;1.687.400.027.275.080;1.687.400.027.275.080;;;;3661.0;836.0;7878.0;4971.0;;4U 1901+03,1H 1858+031,INTEGRAL1 107,INTREF   958,1M 1901+030,2MASS J19033940+0312158,TIC 177377138,2U 1907+02,3U 1901+03,UGPS J190339.39+031215.6,WISEA J190339.41+031215.6,WISE J190339.41+031215.4,[KRL2007b] 351,Gaia DR3 4268774695647764352,Gaia DR2 4268774695647764352;2021MNRAS.500.1350B;2019ATel12556....1H;2005ApJ...635.1217G;2019ATel12560....1M;;;;;19033940+0312158;J190339.38+031215.5;;;;;;4U 1901+03
XTE J1906+090;28.619.776.875.399;90.449.110.404;0.0008335039112085798;2005ApJ...632.1069G;0.0;4.249.719.466.015.610;11.748.707.472.892.700;XP,XT;;89.17;;[GPW2005] 8;Be?;4,31065E+18;197.567;0.0104;;;15.177;0.066;14.168;0.114;13.503;0.063;;;;;19.47;;;16.268.610.678.792;16.268.610.678.792;ACIS;2.409.000.082.748.130;2.409.000.082.748.130;;;;;;;;7878.0;4404.0;12287.0;;;XTE J1906+090,[GPW2005]  8;;1998ApJ...502L.129M;;2009ApJ...707..870B;;;2023MNRAS.523.1192S;;19044747+0902419;;;;J190447.4+090241;2SXPS J190447.5+090237;;
4U 1907+09;28.740.473.038.615;983.201.118.533;8,86E+10;2023A&A...674A...1G;0.0;43.743.824.885.029.200;0.47964537565055076;CL,HT,SG,XP,XT;8.37;438.0;18,36;1H 1909+096;O8-9 Ia;4,30923E+18;167.939;0.003;16.35;;12.575;0.032;11.46;0.039;10.864;0.028;;;;;;;;;;;;;166.19;166.19;;;;;;2896.0;1903.0;4351.0;4705.6;2.133.000.030.517.570;4U 1907+09,1A 1907+09,3A 1907+097,1ES 1907+09.7,EXO 1908+092,GPS 1908+092,1H 1909+096,H 1907+097,INTEGRAL1 108,INTREF   965,1M 1906+097,PBC J1909.6+0950,1RXS J190939.3+094945,SWIFT J1909.6+0948,SWIFT J1909.6+0950,3U 1906+09,4U 1907+097,[BM83] X1907+097,[KRL2007b] 354,Gaia DR3 4309225217336733824;2013ApJ...777...61H;2006Msngr.126...27K,2010ApJ...709..179R,2013ApJ...771...96M;2006Msngr.126...27K,2010ApJ...709..179R,2013ApJ...771...96M;2010ApJ...709..179R,2013ApJ...771...96M;;;1992fxap.book.....T;;19093713+0949556;;;;;;SWIFT J1909.6+0948;
AX J1910.7+0917;2.876.819.513;92.748.314;13.655.507.516.107.200;2010ApJS..189...37E;2.0;4.337.581.155.108.080;-0.020107011587592687;SG;;36200.0;;2XMM J191043.4+091629;early BI;;;;;;;;;;;;;;;;;0.503847;33.941.100.000.000.000;0.29560229049495;0.29560229049495;ACIS;;;;;;;;;;16000.0;15500.0;16500.0;;;2E  4200,AX J1910.7+0917,CXOU J191043.7+091629,1E 1908.3+0911,2E 1908.3+0911,2E 1908.3-0911,UGPS J191043.55+091629.8,2XMM J191043.4+091629;;2016MNRAS.462.4371I,2017MNRAS.469.3056S;;2013A&A...555A.115R;2013A&A...555A.115R;;2001ApJS..134...77S;;;;;4XMM J191043.5+091628;J191043.6+091629;;;
4U 1909+07;28.770.087.185.633;759.765.630.241;0.0010515035425522827;2023A&A...674A...1G;0.0;41.896.996.118.071.900;-0.8116381110073527;CL,XP;4.4;603.6;44?;1E 1908.4+0730;O7.5-9.5If;4,30642E+18;201.543;0.0075;;;13.228;0.021;11.457;0.027;10.48;0.022;;;;;;;;;;;2.496.000.073.293.200;2.496.000.073.293.200;26.095.000.000.000.000;26.095.000.000.000.000;;;;;;6506.0;2873.0;10917.0;;;4U 1908+075,1A 1908+07,3A 1907+074,1E 1908.4+0730,GPS 1908+075,1H 1907+074,INTEGRAL1 109,1M 1912+077,2MASS J19104821+0735516,PBC J1910.7+0735,SSTGLMC G041.8969-00.8116,SWIFT J1910.8+0739,SWIFT J1910.7+0735,TIC 202822914,3U 1912+07,4U 1909+07,[KRL2007b] 356,Gaia DR2 4306419980916246656,Gaia DR3 4306419980916246656;2013ApJ...779...54J;2004ApJ...617.1284L,2020MNRAS.498.4830J;2000ApJ...532.1119W,2004ApJ...617.1284L;2014yCat....1.2023S;;;;Superorbital period: 15.18 d (2013ApJ...778...45C);19104821+0735516;;;;;2SXPS J191048.4+073550;SWIFT J1910.8+0739;
